Timestamp,Sender,Message
2024-11-09 21:14:08,You,hi
2024-11-09 21:14:09,Bot,"Hello, how can I assist you?"
2024-11-09 21:14:17,You,hello
2024-11-09 21:14:17,Bot,"Hello, how can I assist you?"
2024-11-09 21:15:54,You,Hi
2024-11-09 21:15:54,Bot,"Hello, how can I assist you?"
2024-11-09 21:17:15,You,Hi
2024-11-09 21:17:16,Bot,"Hello, how can I assist you?"
2024-11-09 21:18:00,You,Hoi
2024-11-09 21:18:01,Bot,"Hello, how can I assist you?"
2024-11-09 21:20:46,You,Hi
2024-11-09 21:20:46,Bot,"Hello, how can I assist you?"
2024-11-09 21:22:04,You,Hi
2024-11-09 21:22:04,Bot,"Hello, how can I assist you?"
2024-11-09 21:22:10,You,how are you
2024-11-09 21:22:11,Bot,"Hello, how can I assist you?"
2024-11-09 21:37:03,user,Hi
2024-11-09 21:37:03,Bot,"Hello, how can I assist you?"
2024-11-09 22:07:04,hi,Hi
2024-11-09 22:07:05,Bot,"Hello, how can I assist you?"
2024-11-09 22:10:36,pl,Hi
2024-11-09 22:10:37,Bot,"Hello, how can I assist you?"
2024-11-10 12:49:11,pal,Hello
2024-11-10 12:49:12,Bot,"Hello, how can I assist you?"
2024-11-10 12:51:01,pal,Hi
2024-11-10 12:51:01,Bot,"Hello, how can I assist you?"
2024-11-10 13:00:05,arie,hello
2024-11-10 13:00:06,Bot,"Hello, how can I assist you?"
2024-11-10 14:40:02,xyz,Hi
2024-11-10 14:40:03,Bot,"Hello, how can I assist you?"
2024-11-10 14:40:17,xyz,q
2024-11-10 14:40:18,Bot,"Hello, how can I assist you?"
2024-11-10 14:40:19,xyz,q
2024-11-10 14:40:19,Bot,"Hello, how can I assist you?"
2024-11-10 14:40:20,xyz,q
2024-11-10 14:40:20,Bot,"Hello, how can I assist you?"
2024-11-10 14:40:40,xyz,"Bot: Hello, how can I assist you?"
2024-11-10 14:40:41,Bot,"Hello, how can I assist you?"
